-93 -101
-27 8
30 122
44 128
23 -41
-60 -85
-8 92
87 53
27 79
-60 -38
3 19
9 107
60 -117
-1 -72
-84 85
-3 -124
12 -83
-90 -117
79 -101
79 -129
67 122
93 -114
-15 95
-72 -59
94 7
-99 -97
8 94
-32 140
24 146
30 -47
22 16
49 74
-99 103
77 -42
-72 -17
-2 31
-65 -137
-35 64
-37 -114
-75 119
15 -56
-71 -149
17 -55
5 -46
-49 48
88 -127
5 -68
52 116
16 87
-62 -6
1 147
-29 -22
37 8
77 147
-6 54
-91 -19
45 -75
-65 -52
42 49
68 62
-40 7
94 58
95 18
13 -20
-94 12
42 115
-18 -98
67 -129
-5 -38
-29 -49
90 81
38 -93
-84 140
-60 -71
35 -44
72 148
-5 69
-46 -127
-11 110
5 -24
23 56
-87 20
-62 -56
-80 -106
66 -116
-74 144
63 -12
-56 40
50 9
-77 -3
85 67
-28 -111
-53 135
-4 -65
-77 70
44 -82
35 -135
-75 -16
-58 -139
-21 102
-56 145
-82 146
-8 -135
91 83
-31 -53
53 97
-75 -40
-38 -39
-92 127
61 75
35 -82
95 126
67 -11
-26 81
56 -149
-28 110
-6 34
55 39
-93 -135
93 119
-20 -95
-45 -144
63 52
-24 58
-51 81
-56 -112
-92 47
-49 99
-97 -19
31 64
-81 25
-91 30
29 73
-46 10
37 -105
17 75
-100 -94
64 147
-52 54
50 0
76 62
54 147
4 131
48 15
78 149
-91 79
53 133
-53 57
73 -28
5 126
-47 -26
-70 116
-100 -6
70 135
-84 -52
55 -117
57 26
78 -84
57 61
-22 -36
-81 87
33 41
20 112
-67 47
-69 38
89 123
-23 -146
58 -150
-46 110
15 -3
-20 -20
55 96
7 -112
-100 76
-65 -93
13 -136
93 110
54 -32
57 135
29 -35
63 -48
17 -107
-81 117
47 119
95 -147
-27 -147
48 -65
-42 109
-94 80
-76 -18
73 -47
-3 70
50 81
-20 -47
0 70
33 8
-97 26
50 -116
80 -71
-68 124
49 -8
-51 -79
10 -71
83 -80
-60 73
-50 121
-71 68
46 149
-70 -29
76 -126
-56 8
-4 21
-36 110
98 -99
40 53
51 51
-95 30
-82 -76
-51 63
20 -25
-88 33
88 -133
-92 0
24 45
-43 61
-10 -84
-90 143
53 -85
60 92
-97 2
7 -9
10 50
99 -123
71 -63
-86 -25
-59 -33
48 92
15 124
-55 23
-80 61
-61 4
5 79
-47 -61
66 -94
4 110
-2 142
20 66
80 17
52 -11
-2 51
-89 -34
-9 121
28 21
-39 -105
20 -110
58 3
-73 100
11 113
94 -17
27 -23
95 -19
-58 -34
-94 -35
24 -49
-3 -89
3 -126
8 -14
-19 65
10 -134
5 123
81 -30
91 19
-35 -123
36 -22
25 34
67 99
-24 -104
76 16
-33 -130
84 141
-90 8
-89 -106
18 -32
34 -125
67 39
-82 64
-75 -132
-72 -121
-66 77
-60 4
40 146
35 33
-52 15
-89 102
-36 -74
-63 -75
-55 60
-85 -58
10 -3
-63 49
-53 -135
-7 -71
29 -86
79 51
25 -61
58 83
-100 39
-30 67
-54 -112
43 -112
36 -29
19 46
-53 -62
59 -63
-65 -15
12 134
89 134
34 117
19 65
-55 126
-39 -125
-81 -19
3 148
98 89
-96 -147
-21 115
91 -43
24 115
21 4
6 -100
3 -118
-68 91
-46 -73
-83 -50
-11 115
47 72
-21 -33
16 98
62 -121
-61 -142
3 107
61 2
-34 -129
57 146
55 -20
-6 -95
-79 -138
-7 77
-68 94
91 -52
52 106
70 53
-61 -136
99 16
-65 -29
-57 102
-14 69
50 -140
-77 119
-95 93
11 -119
92 -34
-1 121
-61 20
-64 41
-43 -117
28 27
-90 -67
76 -61
-9 -16
11 -146
-74 -59
90 -128
64 140
-16 63
-59 -23
79 134
37 -80
61 31
65 -148
32 -18
-46 109
-53 27
-38 -40
-81 0
77 -109
-64 -30
-1 62
59 -94
90 -98
-52 64
-56 -132
50 -49
-5 -129
31 -49
-55 11
-43 -40
28 -45
73 -113
-31 146
3 -129
-25 68
0 39
-38 4
-37 -107
-11 0
35 -135
64 44
63 108
-48 142
16 64
-80 10
-50 18
41 -3
96 137
1 -116
28 21
-52 125
-47 21
29 -57
19 21
-80 114
-21 80
-90 130
13 -108
38 -68
-56 78
93 125
80 50
96 -3
70 37
43 -117
-48 11
-76 -150
80 -72
-43 -27
-2 -36
-55 -88
9 -140
-51 -32
-10 105
43 105
85 -116
-25 -29
51 -124
-49 9
83 -136
-63 129
-2 50
37 -65
-22 134
42 -35
60 17
40 -43
66 -122
62 13
69 -60
-77 128
13 111
-90 90
78 -150
94 57
-44 101
86 -119
44 -111
76 -66
-48 58
14 4
-81 -122
-29 -80
-37 -103
-76 -7
-46 58
81 2
-12 -87
59 -31
79 -94
-39 37
53 149
88 94
-20 -84
-17 124
-64 -41
67 -116
39 34
-49 -1
-34 17
10 -61
27 -77
81 -55
36 124
-65 -119
72 -122
98 20
87 147
-11 96
-10 61
-88 113
12 31
51 -20
21 63
28 0
-100 9
54 142
94 -20
-68 -91
77 29
-68 -78
83 31
53 -28
21 -94
-82 41
0 -54
20 -146
99 -21
44 125
-30 -134
99 130
-82 138
-48 78
-100 -88
-60 99
85 133
15 109
-22 -91
61 132
-52 -96
-60 -69
70 -122
-49 -6
-31 -55
-31 -140
72 -127
25 69
-50 81
-57 -4
-31 -80
94 60
92 14
24 111
19 -30
62 11
25 84
49 -60
22 -90
-7 -122
22 -69
66 -82
-77 -28
-61 67
93 -86
78 6
71 91
55 -14
-11 -22
20 52
12 66
47 96
-49 -78
-89 -127
36 -145
-93 83
-34 3
-88 75
-60 3
-43 -117
-5 -111
-49 -92
-6 -90
38 -121
-25 -52
-8 83
62 26
-64 -104
-27 14
-16 142
19 -8
28 -91
-38 -105
16 -123
72 -102
-100 -80
98 42
45 -122
0 -107
92 113
83 -78
-99 -141
-79 -64
13 119
31 -93
-81 136
-44 -134
-46 4
-86 -35
37 16
-3 127
60 -138
91 -119
74 113
-23 -126
84 -117
50 -23
99 -21
-91 -106
64 -99
-88 29
34 57
83 -50
-41 -40
53 -59
21 -25
-47 -121
-4 3
-39 -92
-9 -87
20 18
-13 76
-28 -31
-59 -46
51 -58
-55 120
-26 12
76 -33
-74 -137
44 121
79 85
29 -62
-52 128
-83 -27
-62 -142
29 -24
68 56
99 105
-71 126
-12 146
-81 -86
37 -34
18 141
-17 148
20 -2
61 101
-82 27
46 -89
-22 -122
-37 85
6 -142
68 -71
19 73
-23 42
53 28
-47 145
-29 -75
-96 112
-68 -131
31 -115
-32 18
-90 84
-30 -72
-35 -105
-21 -75
27 37
63 -113
66 -116
-17 25
84 -95
56 -51
-36 43
-14 83
24 -3
94 80
67 15
10 -68
-95 -36
-48 91
85 141
-94 10
60 -138
-97 -20
-15 50
85 -83
-16 38
-100 136
0 45
99 52
-72 133
17 -114
-98 39
78 -125
89 -28
95 -45
19 -59
21 -76
14 112
6 133
-74 -131
-99 80
-56 25
-42 -88
31 86
20 58
-76 97
8 -39
97 -50
14 46
99 -105
33 12
39 104
-79 -64
36 -40
-38 23
-7 85
88 121
-62 71
-9 -137
60 107
-8 -107
75 -82
-87 -135
-64 -59
47 119
-68 -116
28 -107
-21 -44
-46 57
37 53
-79 97
-66 -1
-84 109
38 -100
83 -64
-4 135
24 -28
63 31
-88 101
-98 -55
36 -96
-92 130
-69 80
-5 -36
12 -114
37 -141
-15 -131
81 -40
8 59
-61 117
19 -84
99 -30
15 -73
22 -8
80 -69
-15 80
25 -14
94 -5
-98 -117
-20 -94
-66 -33
-19 -69
-42 55
92 110
-49 -149
42 -6
-65 -95
-28 93
22 -137
-59 131
79 68
60 -121
55 -68
64 -18
13 45
28 54
-45 61
-19 60
4 101
-84 111
-36 55
22 -137
43 -14
18 44
88 -107
-61 -48
43 20
-81 62
17 -18
82 -53
-41 -77
90 69
-90 -139
-85 28
42 -105
-30 12
-92 -67
-1 -41
-87 100
51 15
2 -33
53 49
16 134
-31 -108
3 -35
29 7
82 114
52 4
26 -123
55 -91
52 136
-78 79
86 -1
-21 -52
-10 53
-14 -107
-73 35
98 37
-83 -19
-24 11
63 64
83 -118
22 -139
91 121
42 -17
53 -20
80 -46
15 37
10 131
58 -64
-67 90
-41 -14
62 -12
54 -24
26 62
95 -29
77 91
58 -96
-80 147
27 -99
-38 -18
37 -46
-43 55
7 -7
-42 -111
43 47
-19 15
-43 -145
17 -38
-76 134
-41 -51
-84 -10
-49 -4
22 -57
-85 -101
61 -1
-69 -54
23 46
-56 0
-62 -119
59 85
-35 51
87 87
48 -130
-76 -56
75 -47
89 -64
-55 93
-43 -118
-39 -72
4 -48
-69 70
-14 -120
-57 17
-52 -106
17 99
25 -77
-37 66
-20 -2
79 -93
-86 -145
89 57
5 77
-86 -135
8 47
-51 145
-71 -24
-34 -52
85 -88
18 103
79 -47
83 -127
59 -129
74 -116
-25 52
-64 129
15 100
-87 0
-8 -2
-17 131
-53 -142
6 128
6 17
14 -140
-30 -92
-83 96
4 -94
-37 87
-2 -16
-44 -42
-88 -37
-20 74
4 -37
-27 12
79 -73
-31 -103
-69 3
-67 -11
20 44
97 -126
-29 -92
20 -102
-82 -149
17 -58
-87 130
56 -10
94 118
-30 13
-51 -116
-75 -79
-9 -100
-83 -140
-46 -25
1 44
92 -116
70 96
87 71
65 39
71 15
60 -140
75 -41
-6 -127
34 -76
-86 44
-77 25
-23 7
-73 -28
74 22
-61 -111
83 -133
30 140
-94 -54
-88 145
38 -34
21 -66
-73 128
-40 -78
-13 -15
81 -24
94 -120
-5 108
-81 62
-57 -38
6 -22
93 -124
-74 76
33 31
-4 -58
-39 59
77 -126
22 90
-48 -135
80 -58
51 102
73 -73
-83 -124
-35 -89
39 -101
-93 69
-70 26
-75 -69
27 9
-3 43
-75 -21
-78 98
53 -71
-32 -123
-76 81
-23 -144
0 22
-99 80
-2 127
49 -56
27 -98
-41 27
-30 1
-76 134
-80 -35
-81 -73
-5 -55
-36 -150
18 -33
23 -33
54 118
